Metabolite,NPC.superclass,NPC.class,NPC.pathway,ClassyFire.superclass,ClassyFire.class,ClassyFire.subclass,ClassyFire.level.5
200,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
169,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
167,Aminosugars and aminoglycosides,Amino cyclitols,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
229,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Alkyl glycosides
88,Saccharides,Miscellaneous apocarotenoids,Shikimates and Phenylpropanoids,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
376,Fatty acyls,Fatty alcohols,Alkaloids,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Tetraalkylammonium salts
23,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
179,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
101,Saccharides,Monosaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
752,Nicotinic acid alkaloids,Pyridine alkaloids,Alkaloids,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,NA
196,Small peptides,Polyamines,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
192,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
201,Polyols,Amino cyclitols,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
202,Anthranilic acid alkaloids,Pyridine alkaloids,Alkaloids,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,NA
310,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
172,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
41,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides
109,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
599,Fatty Acids and Conjugates,Branched fatty acids,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,NA
886,Fatty esters,Fatty acyl carnitines,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines
418,Glycerophospholipids,Aminoacids,Carbohydrates,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines
175,Saccharides,Monosaccharides,Carbohydrates,Organoheterocyclic compounds,Oxepanes,NA,NA
151,Pseudoalkaloids,pteridine alkaloids,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
381,Cyclic polyketides,Furans,Polyketides,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
244,Ornithine alkaloids,Piperidine alkaloids,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
439,Aminosugars and aminoglycosides,Purine alkaloids,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
81,Saccharides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
420,Saccharides,Polysaccharides,Carbohydrates,Lipids and lipid-like molecules,Saccharolipids,NA,NA
414,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Lipids and lipid-like molecules,NA,NA,NA
644,Glycerophospholipids,Glycerophosphocholines,Fatty acids,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines
437,Tyrosine alkaloids,Betalain alkaloids,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
258,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
759,Saccharides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
307,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
513,Oligopeptides,Depsipeptides,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
386,Saccharides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
66,Saccharides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
544,Fatty acyls,Hydrocarbons,Fatty acids,Organic acids and derivatives,Thiosulfinic acid esters,NA,NA
464,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
33,Cyclic polyketides,Furans,Polyketides,Benzenoids,Phenols,Benzenediols,NA
472,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
543,Fatty esters,Fatty acyl carnitines,Fatty acids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
602,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
250,Aminosugars and aminoglycosides,Aminosugars,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
255,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
434,Saccharides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
456,Saccharides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
98,Cyclic polyketides,4-pyrone derivatives,Polyketides,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
476,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Pyrimidine ribonucleoside diphosphates
875,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
322,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
293,Amino acid glycosides,Glucosinolates,Amino acids and Peptides,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
133,Saccharides,Disaccharides,Carbohydrates,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Alkyl glycosides
722,Aminosugars and aminoglycosides,Amino cyclitols,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides
770,Fatty esters,Wax monoesters,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,NA,NA
575,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
760,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
314,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides
724,Saccharides,Disaccharides,Carbohydrates,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Alkyl glycosides
102,Monoterpenoids,Acyclic monoterpenoids,Terpenoids,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates
320,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
504,Saccharides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
588,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
371,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
557,Small peptides,Dipeptides,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
393,Nucleosides,Purine nucleos(t)ides,Carbohydrates,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA
926,Aminosugars and aminoglycosides,Polysaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
492,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
622,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
454,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
384,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
893,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
433,Small peptides,Aminosugars,Carbohydrates,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
593,Amino acid glycosides,Glucosinolates,Amino acids and Peptides,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
501,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
511,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
505,Aminosugars and aminoglycosides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
536,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
981,Cyclic polyketides,Furans,Polyketides,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,NA
569,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
573,Fatty amides,Dipeptides,Fatty acids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
708,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
649,Lysine alkaloids,Piperidine alkaloids,Alkaloids,Organoheterocyclic compounds,Lactams,NA,NA
635,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
793,Lysine alkaloids,Aminoacids,Shikimates and Phenylpropanoids,Benzenoids,Benzene and substituted derivatives,NA,NA
1007,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
753,Ornithine alkaloids,Polyamines,Alkaloids,Organic nitrogen compounds,Organonitrogen compounds,Amines,Alkanolamines
650,Ornithine alkaloids,Polyamines,Alkaloids,Organic nitrogen compounds,Organonitrogen compounds,Amines,Secondary amines
646,Small peptides,Aminoacids,Amino acids and Peptides,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,NA
828,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
705,Small peptides,Dipeptides,Amino acids and Peptides,Lipids and lipid-like molecules,Fatty Acyls,NA,NA
674,Small peptides,Glycerophosphates,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
694,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
687,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
716,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
745,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
693,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
905,Anthranilic acid alkaloids,Anthranillic acid derivatives,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
1124,Fatty esters,Wax monoesters,Fatty acids,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines
718,Fatty amides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
1082,Saccharides,Monosaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
1080,Fatty acyls,Fatty alcohols,Alkaloids,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Tetraalkylammonium salts
765,Fatty esters,Wax monoesters,Fatty acids,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA
951,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
691,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
801,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
795,Saccharides,Monosaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
986,Nicotinic acid alkaloids,Pyridine alkaloids,Alkaloids,Organoheterocyclic compounds,Azoles,NA,NA
790,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
775,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
769,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
794,Glycerolipids,Monoacylglycerols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers
944,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
761,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1005,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
815,Fatty amides,N-acyl amines,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines
717,Small peptides,Cyclic peptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1062,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
1099,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
751,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
818,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
842,Small peptides,Dipeptides,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
840,Small peptides,N-acyl amines,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
835,Fatty Acids and Conjugates,Branched fatty acids,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Branched fatty acids
863,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1205,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides
1038,Phenolic acids (C6-C1),Wax monoesters,Shikimates and Phenylpropanoids,Benzenoids,Phenol ethers,NA,NA
1248,Aminosugars and aminoglycosides,Amino cyclitols,Carbohydrates,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
1263,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides
1169,Phloroglucinols,Acyl phloroglucinols,Polyketides,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
1294,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Disaccharides
1269,Glycerophospholipids,Glycerophosphocholines,Fatty acids,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines
845,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
697,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Shikimates and Phenylpropanoids,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones
928,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
933,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1317,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Alkyl glycosides
1119,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1032,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
1232,Glycerophospholipids,Glycerophosphocholines,Fatty acids,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines
917,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
918,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1434,Aminosugars and aminoglycosides,Aminosugars,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
939,Tyrosine alkaloids,Phenylethylamines,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
997,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1001,Pseudoalkaloids,Purine alkaloids,Alkaloids,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-thiopurines
904,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1019,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1114,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1105,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1422,Saccharides,Disaccharides,Carbohydrates,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
1050,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,Shikimates and Phenylpropanoids,Benzenoids,Benzene and substituted derivatives,Styrenes,NA
1051,Tyrosine alkaloids,Phenylethylamines,Alkaloids,Benzenoids,Benzene and substituted derivatives,Phenethylamines,NA
1200,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1071,Small peptides,Aminoacids,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
1076,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1056,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1536,Phenolic acids (C6-C1),Simple phenolic acids,Shikimates and Phenylpropanoids,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates
1096,Fatty esters,Fatty acyl carnitines,Fatty acids,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines
1031,Ornithine alkaloids,Dipeptides,Alkaloids,Organoheterocyclic compounds,Pyrrolidines,Pyrrolidones,Pyrrolidine-2-ones
787,Small peptides,Dipeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1138,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
1072,Fatty acyls,Fatty alcohols,Fatty acids,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,NA
1584,Nicotinic acid alkaloids,Pyridine alkaloids,Alkaloids,Organoheterocyclic compounds,Heteroaromatic compounds,NA,NA
1286,Small peptides,Dipeptides,Carbohydrates,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
771,Peptide alkaloids,Pyrrolidine alkaloids,Alkaloids,Organoheterocyclic compounds,Piperidines,NA,NA
1295,Small peptides,Aminoacids,Alkaloids,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives
1568,Ornithine alkaloids,Polyamines,Alkaloids,Organic nitrogen compounds,Organonitrogen compounds,Amines,Secondary amines
1349,Anthranilic acid alkaloids,Quinoline alkaloids,Alkaloids,Organoheterocyclic compounds,Azoles,Pyrazoles,Phenylpyrazoles
1389,Small peptides,Tripeptides,Amino acids and Peptides,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides
