"Metabolite","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif","p.adj.BH","LibraryID","Precursor_Mass","Network_Number","NPC.superclass","NPC.class","NPC.pathway","ClassyFire.superclass","ClassyFire.class","ClassyFire.subclass","ClassyFire.level.5"
"10086","Amigos","Low","Medium",0,-0.0483519113678865,-0.567449101130233,0.47074527839446,0.974,"ns",1,NA,917.308,89,"Oligopeptides","Tripeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10092","Amigos","High","Low",0,-0.378983317870231,-0.757169505575563,-0.000797130164899018,0.0494,"*",0.243107627829002,NA,919.824,77,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10092","Amigos","High","Medium",0,-0.512609043740247,-0.850757250270518,-0.174460837209976,0.00119,"**",0.0137529330708661,NA,919.824,77,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10092","Amigos","Low","Medium",0,-0.133625725870016,-0.454709933813822,0.187458482073789,0.59,"ns",0.98071630804077,NA,919.824,77,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10093","Amigos","High","Low",0,-0.720701927622809,-1.13121724416487,-0.310186611080749,0.000133,"***",0.00194239552238806,NA,886,62,"Anthranilic acid alkaloids","Purine nucleos(t)ides","Alkaloids","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones"
"10093","Amigos","High","Medium",0,-0.796168111362906,-1.16322281234015,-0.429113410385664,1.63e-06,"****",3.73817578125e-05,NA,886,62,"Anthranilic acid alkaloids","Purine nucleos(t)ides","Alkaloids","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones"
"10093","Amigos","Low","Medium",0,-0.0754661837400974,-0.423998175509742,0.273065808029547,0.867,"ns",1,NA,886,62,"Anthranilic acid alkaloids","Purine nucleos(t)ides","Alkaloids","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Pyrimidones"
"10094","Amigos","High","Low",0,-0.78973988685128,-1.2029145313909,-0.376565242311662,2.78e-05,"****",0.00047863284457478,NA,1012.1424,62,NA,NA,NA,NA,NA,NA,NA
"10094","Amigos","High","Medium",0,-0.710103611311516,-1.07953610138361,-0.340671121239419,2.48e-05,"****",0.000430771597633136,NA,1012.1424,62,NA,NA,NA,NA,NA,NA,NA
"10094","Amigos","Low","Medium",0,0.0796362755397642,-0.271153514773343,0.430426065852871,0.854,"ns",1,NA,1012.1424,62,NA,NA,NA,NA,NA,NA,NA
"10097","Amigos","High","Low",0,-0.755882622357637,-1.14147203467928,-0.370293210035994,1.66e-05,"****",0.000298038532110092,NA,1014.5738,62,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10097","Amigos","High","Medium",0,-0.661302197896275,-1.00606986121246,-0.316534534580087,2.59e-05,"****",0.000447232058823529,NA,1014.5738,62,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10097","Amigos","Low","Medium",0,0.0945804244613622,-0.232789202118648,0.421950051041372,0.775,"ns",1,NA,1014.5738,62,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10155","Amigos","High","Low",0,-0.377085413040678,-0.715270600531648,-0.0389002255497085,0.0245,"*",0.15205021141649,NA,919.7489,77,"Pseudoalkaloids","Glycerophosphoinositol phosphates","Alkaloids","Organic acids and derivatives","Organic phosphoric acids and derivatives",NA,NA
"10155","Amigos","High","Medium",0,-0.452419715479968,-0.75480176522917,-0.150037665730765,0.00141,"**",0.0157979198473282,NA,919.7489,77,"Pseudoalkaloids","Glycerophosphoinositol phosphates","Alkaloids","Organic acids and derivatives","Organic phosphoric acids and derivatives",NA,NA
"10155","Amigos","Low","Medium",0,-0.0753343024392894,-0.362457223883664,0.211788619005085,0.811,"ns",1,NA,919.7489,77,"Pseudoalkaloids","Glycerophosphoinositol phosphates","Alkaloids","Organic acids and derivatives","Organic phosphoric acids and derivatives",NA,NA
"10159","Amigos","High","Low",0,-0.149363402244842,-0.415319618530279,0.116592814040595,0.384,"ns",0.799171924849344,NA,1089.8879,77,NA,NA,NA,NA,NA,NA,NA
"10159","Amigos","High","Medium",0,-0.285555843301831,-0.523355690245394,-0.0477559963582686,0.0138,"*",0.100148084054388,NA,1089.8879,77,NA,NA,NA,NA,NA,NA,NA
"10159","Amigos","Low","Medium",0,-0.136192441056989,-0.361992176292897,0.0896072941789181,0.332,"ns",0.738043165467626,NA,1089.8879,77,NA,NA,NA,NA,NA,NA,NA
"10182","Amigos","High","Low",0,-0.498791528321272,-0.869185533120406,-0.128397523522138,0.00472,"**",0.0435709433962264,NA,1413.1868,NA,NA,NA,NA,NA,NA,NA,NA
"10182","Amigos","High","Medium",0,-0.6293575177177,-0.96053848757898,-0.298176547856421,3.11e-05,"****",0.000527711271676301,NA,1413.1868,NA,NA,NA,NA,NA,NA,NA,NA
"10182","Amigos","Low","Medium",0,-0.130565989396428,-0.445034548863566,0.183902570070709,0.592,"ns",0.982094376942639,NA,1413.1868,NA,NA,NA,NA,NA,NA,NA,NA
"10184","Amigos","High","Low",0,-0.620589953868692,-0.897513486101524,-0.34366642163586,7.03e-07,"****",1.74886144067797e-05,NA,990.4868,89,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10184","Amigos","High","Medium",0,-0.563741949126092,-0.81134801940257,-0.316135878849613,4.59e-07,"****",1.21936153846154e-05,NA,990.4868,89,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10184","Amigos","Low","Medium",0,0.0568480047426001,-0.17826310163461,0.29195911111981,0.837,"ns",1,NA,990.4868,89,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10189","Amigos","High","Low",0,0.747186476367964,0.27764699062562,1.21672596211031,0.000616,"***",0.00776080686695279,NA,358.1589,NA,"Nucleosides","Purine nucleos(t)ides","Carbohydrates","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,NA
"10189","Amigos","High","Medium",0,0.340343692581609,-0.0794863809657355,0.760173766128954,0.138,"ns",0.45086143572621,NA,358.1589,NA,"Nucleosides","Purine nucleos(t)ides","Carbohydrates","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,NA
"10189","Amigos","Low","Medium",0,-0.406842783786355,-0.805486940498366,-0.00819862707434343,0.0443,"*",0.227148733624454,NA,358.1589,NA,"Nucleosides","Purine nucleos(t)ides","Carbohydrates","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,NA
"10195","Amigos","High","Low",0,-0.256447214963688,-0.569865194992941,0.0569707650655643,0.133,"ns",0.444924786324786,NA,996.4804,77,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10195","Amigos","High","Medium",0,-0.378011335179011,-0.658248243047812,-0.0977744273102102,0.00464,"**",0.0433136966824645,NA,996.4804,77,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10195","Amigos","Low","Medium",0,-0.121564120215323,-0.387659411753177,0.144531171322532,0.53,"ns",0.933104160431009,NA,996.4804,77,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10196","Amigos","High","Low",0,-0.601564436322413,-1.03429096505713,-0.168837907587698,0.00336,"**",0.0332656998313659,NA,996.5623,77,NA,NA,NA,NA,NA,NA,NA
"10196","Amigos","High","Medium",0,-0.780182614246141,-1.16709706106281,-0.393268167429471,9.06e-06,"****",0.00017214,NA,996.5623,77,NA,NA,NA,NA,NA,NA,NA
"10196","Amigos","Low","Medium",0,-0.178618177923728,-0.546007731672625,0.188771375825169,0.487,"ns",0.90337345971564,NA,996.5623,77,NA,NA,NA,NA,NA,NA,NA
"101_i","Amigos","High","Low",0,-0.772698475050108,-1.2706779658816,-0.274718984218615,0.000874,"***",0.0106678877338877,NA,1015.0795,12,"Phenolic acids (C6-C1)","Gallotannins","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"101_i","Amigos","High","Medium",0,-0.94000740644883,-1.38526658615407,-0.494748226743593,3.17e-06,"****",6.79236131386861e-05,NA,1015.0795,12,"Phenolic acids (C6-C1)","Gallotannins","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"101_i","Amigos","Low","Medium",0,-0.167308931398722,-0.5900989633564,0.255481100558956,0.621,"ns",0.999970104223807,NA,1015.0795,12,"Phenolic acids (C6-C1)","Gallotannins","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"102","Amigos","High","Low",0,0.650659415157123,0.275875261933649,1.0254435683806,0.000161,"***",0.0023110782396088,NA,166.0724,NA,"Nicotinic acid alkaloids","Pyridine alkaloids","Alkaloids","Benzenoids","Benzene and substituted derivatives","Aniline and substituted anilines",NA
"102","Amigos","High","Medium",0,0.512337656729268,0.177231316602353,0.847443996856182,0.00107,"**",0.0126908484848485,NA,166.0724,NA,"Nicotinic acid alkaloids","Pyridine alkaloids","Alkaloids","Benzenoids","Benzene and substituted derivatives","Aniline and substituted anilines",NA
"102","Amigos","Low","Medium",0,-0.138321758427856,-0.456517601903269,0.179874085047558,0.563,"ns",0.955310115606936,NA,166.0724,NA,"Nicotinic acid alkaloids","Pyridine alkaloids","Alkaloids","Benzenoids","Benzene and substituted derivatives","Aniline and substituted anilines",NA
"10204","Amigos","High","Low",0,0.599853717520314,0.00680661120894022,1.19290082383169,0.0467,"*",0.235142109777015,NA,313.101,NA,"Monoterpenoids","Wax monoesters","Terpenoids","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"10204","Amigos","High","Medium",0,0.101428736238497,-0.428833398938712,0.631690871415706,0.894,"ns",1,NA,313.101,NA,"Monoterpenoids","Wax monoesters","Terpenoids","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"10204","Amigos","Low","Medium",0,-0.498424981281817,-1.00192845812407,0.00507849556044121,0.053,"ns",0.254426001635323,NA,313.101,NA,"Monoterpenoids","Wax monoesters","Terpenoids","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"10210","Amigos","High","Low",0,0.329298684976123,-0.185294103211642,0.843891473163889,0.289,"ns",0.687766112687475,NA,335.0829,NA,"Tryptophan alkaloids","Simple indole alkaloids","Alkaloids","Benzenoids","Benzene and substituted derivatives",NA,NA
"10210","Amigos","High","Medium",0,-0.104020212646867,-0.564133865858034,0.3560934405643,0.856,"ns",1,NA,335.0829,NA,"Tryptophan alkaloids","Simple indole alkaloids","Alkaloids","Benzenoids","Benzene and substituted derivatives",NA,NA
"10210","Amigos","Low","Medium",0,-0.433318897622991,-0.870213800663718,0.00357600541773673,0.0525,"ns",0.253060344827586,NA,335.0829,NA,"Tryptophan alkaloids","Simple indole alkaloids","Alkaloids","Benzenoids","Benzene and substituted derivatives",NA,NA
"10217","Amigos","High","Low",0,-0.455446193220751,-0.812998877535544,-0.0978935089059582,0.00817,"**",0.0683004119318182,NA,1088.6163,77,NA,NA,NA,NA,NA,NA,NA
"10217","Amigos","High","Medium",0,-0.541317263015699,-0.861016402941286,-0.221618123090111,0.000242,"***",0.00335090094339623,NA,1088.6163,77,NA,NA,NA,NA,NA,NA,NA
"10217","Amigos","Low","Medium",0,-0.0858710697949476,-0.389437207781056,0.217695068191161,0.783,"ns",1,NA,1088.6163,77,NA,NA,NA,NA,NA,NA,NA
"10225","Amigos","High","Low",0,0.251814937244527,-0.177107294493422,0.680737168982476,0.351,"ns",0.761537694013304,NA,1180.3207,71,NA,NA,NA,NA,NA,NA,NA
"10225","Amigos","High","Medium",0,-0.0336069809896982,-0.417119885792445,0.349905923813049,0.977,"ns",1,NA,1180.3207,71,NA,NA,NA,NA,NA,NA,NA
"10225","Amigos","Low","Medium",0,-0.285421918234225,-0.649581582241772,0.0787377457733223,0.157,"ns",0.486923930269414,NA,1180.3207,71,NA,NA,NA,NA,NA,NA,NA
"10232","Amigos","High","Low",0,0.0360282180689608,-0.605073514485537,0.677129950623459,0.99,"ns",1,NA,357.2253,NA,NA,NA,NA,NA,NA,NA,NA
"10232","Amigos","High","Medium",0,0.00216511433589472,-0.571064178838782,0.575394407510571,1,"ns",1,NA,357.2253,NA,NA,NA,NA,NA,NA,NA,NA
"10232","Amigos","Low","Medium",0,-0.0338631037330661,-0.57816548362075,0.510439276154618,0.988,"ns",1,NA,357.2253,NA,NA,NA,NA,NA,NA,NA,NA
"10233","Amigos","High","Low",0,-0.154197027373763,-0.53117565277534,0.222781598027814,0.601,"ns",0.988367226890756,NA,1180.6558,71,"Diphenyl ethers (DPEs)","Marine-bacterial DPEs","Alkaloids","Organoheterocyclic compounds",NA,NA,NA
"10233","Amigos","High","Medium",0,-0.185505611601465,-0.522574098563536,0.151562875360606,0.399,"ns",0.81763664921466,NA,1180.6558,71,"Diphenyl ethers (DPEs)","Marine-bacterial DPEs","Alkaloids","Organoheterocyclic compounds",NA,NA,NA
"10233","Amigos","Low","Medium",0,-0.0313085842277023,-0.351367558573749,0.288750390118344,0.971,"ns",1,NA,1180.6558,71,"Diphenyl ethers (DPEs)","Marine-bacterial DPEs","Alkaloids","Organoheterocyclic compounds",NA,NA,NA
"10235","Amigos","High","Low",0,-0.526443183434416,-0.822468310404011,-0.230418056464822,0.000107,"***",0.00159037215189873,NA,919.8807,89,"Small peptides","Cyclic peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10235","Amigos","High","Medium",0,-0.586419389527832,-0.851104798532401,-0.321733980523264,9.49e-07,"****",2.27411387755102e-05,NA,919.8807,89,"Small peptides","Cyclic peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10235","Amigos","Low","Medium",0,-0.0599762060934164,-0.311304775233428,0.191352363046595,0.841,"ns",1,NA,919.8807,89,"Small peptides","Cyclic peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10237","Amigos","High","Low",0,-0.166193009864067,-0.444238070330233,0.111852050602099,0.338,"ns",0.746014285714286,NA,1088.5234,77,NA,NA,NA,NA,NA,NA,NA
"10237","Amigos","High","Medium",0,-0.363733086215547,-0.612341950282501,-0.115124222148592,0.00186,"**",0.0198186206896552,NA,1088.5234,77,NA,NA,NA,NA,NA,NA,NA
"10237","Amigos","Low","Medium",0,-0.197540076351479,-0.43360337246008,0.0385232197571209,0.121,"ns",0.41763139329806,NA,1088.5234,77,NA,NA,NA,NA,NA,NA,NA
"10268","Amigos","High","Low",0,-1.31560899980695,-1.81517889510909,-0.816039104504807,4.87e-09,"****",2.32453414634146e-07,NA,989.1008,89,"Small peptides","Gallotannins","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10268","Amigos","High","Medium",0,-1.37896358234701,-1.82564479288492,-0.932282371809108,6.27e-12,"****",7.83216382978723e-10,NA,989.1008,89,"Small peptides","Gallotannins","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10268","Amigos","Low","Medium",0,-0.0633545825400676,-0.48749488528068,0.360785720200544,0.934,"ns",1,NA,989.1008,89,"Small peptides","Gallotannins","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"1027","Amigos","High","Low",0,-0.110764192607843,-0.628528378993442,0.406999993777756,0.87,"ns",1,NA,490.1921,274,"Small peptides","Dipeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"1027","Amigos","High","Medium",0,0.0439861624999347,-0.418963137933828,0.506935462933698,0.973,"ns",1,NA,490.1921,274,"Small peptides","Dipeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"1027","Amigos","Low","Medium",0,0.154750355107778,-0.284837099674737,0.594337809890292,0.685,"ns",1,NA,490.1921,274,"Small peptides","Dipeptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives"
"10277","Amigos","High","Low",0,-0.766582756429418,-1.17579321062762,-0.357372302231217,4.11e-05,"****",0.000674017039106145,NA,987.7147,NA,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10277","Amigos","High","Medium",0,-0.873709189269454,-1.23959717164171,-0.507821206897198,1.18e-07,"****",3.58952331606218e-06,NA,987.7147,NA,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10277","Amigos","Low","Medium",0,-0.107126432840036,-0.454550582214125,0.240297716534052,0.748,"ns",1,NA,987.7147,NA,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10286","Amigos","High","Low",0,-0.149087705579337,-0.474305124323891,0.176129713165217,0.528,"ns",0.932016837041491,NA,885.745,71,"Oligopeptides","Cyclic peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10286","Amigos","High","Medium",0,-0.251252272308628,-0.542039430740127,0.0395348861228716,0.106,"ns",0.386058312655087,NA,885.745,71,"Oligopeptides","Cyclic peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10286","Amigos","Low","Medium",0,-0.102164566729291,-0.378277710735718,0.173948577277137,0.659,"ns",1,NA,885.745,71,"Oligopeptides","Cyclic peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10299","Amigos","High","Low",0,-0.96035689827905,-1.42888982818743,-0.49182396837067,6.29e-06,"****",0.0001230953,NA,987.6373,89,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10299","Amigos","High","Medium",0,-1.11688597346213,-1.53581605366997,-0.69795589325429,3.13e-09,"****",1.64073482142857e-07,NA,987.6373,89,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10299","Amigos","Low","Medium",0,-0.156529075183081,-0.554318654987721,0.24126050462156,0.624,"ns",1,NA,987.6373,89,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"102_i","Amigos","High","Low",0,-0.773188532829902,-1.31749575281446,-0.228881312845344,0.00263,"**",0.0267140657439446,NA,1346.7604,409,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic Polymers","Polypeptides",NA,NA
"102_i","Amigos","High","Medium",0,-1.03879647255593,-1.52547873706704,-0.552114208044811,2.43e-06,"****",5.34326966292135e-05,NA,1346.7604,409,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic Polymers","Polypeptides",NA,NA
"102_i","Amigos","Low","Medium",0,-0.265607939726023,-0.727730720220084,0.196514840768038,0.367,"ns",0.781238941261784,NA,1346.7604,409,"Oligopeptides","Linear peptides","Amino acids and Peptides","Organic Polymers","Polypeptides",NA,NA
"103","Amigos","High","Low",0,-0.129558795680709,-0.631813055560363,0.372695464198945,0.816,"ns",1,"Suspect related to .alpha.-Cyclodextrin (predicted molecular formula: C24H42O21) with delta m/z -324.106 (putative explanation: Lactosylation (reverse); atomic difference: -12C,-20H,-10O)",649.219,NA,"Saccharides","Polysaccharides","Carbohydrates","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides"
"103","Amigos","High","Medium",0,-0.0497146514331137,-0.498796037062204,0.399366734195976,0.963,"ns",1,"Suspect related to .alpha.-Cyclodextrin (predicted molecular formula: C24H42O21) with delta m/z -324.106 (putative explanation: Lactosylation (reverse); atomic difference: -12C,-20H,-10O)",649.219,NA,"Saccharides","Polysaccharides","Carbohydrates","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides"
"103","Amigos","Low","Medium",0,0.079844144247595,-0.346575213366579,0.506263501861769,0.899,"ns",1,"Suspect related to .alpha.-Cyclodextrin (predicted molecular formula: C24H42O21) with delta m/z -324.106 (putative explanation: Lactosylation (reverse); atomic difference: -12C,-20H,-10O)",649.219,NA,"Saccharides","Polysaccharides","Carbohydrates","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides"
"10308","Amigos","High","Low",0,-0.897337957180753,-1.29415646482337,-0.500519449538137,5.52e-07,"****",1.4214e-05,NA,919.7399,89,"Ornithine alkaloids","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
"10308","Amigos","High","Medium",0,-0.89753054197234,-1.2523384938215,-0.542722590123184,1.93e-08,"****",7.7609794520548e-07,NA,919.7399,89,"Ornithine alkaloids","Linear peptides","Amino acids and Peptides","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides"
